Company,Symbol,Weight,Price,Chg,% Chg
Vertex Pharmaceuticals,VRTX,0.19%,460.87,4.18,(0.92%)
Constellation Energy,CEG,0.19%,322.99,3.93,(1.23%)
Adobe Inc.,ADBE,0.19%,282.44,-1.18,(-0.42%)
Capital One,COF,0.19%,185.73,-1.98,(-1.05%)
McKesson Corporation,MCK,0.19%,942.16,22.90,(2.49%)
CME Group,CME,0.19%,319.09,1.99,(0.63%)
Starbucks,SBUX,0.18%,99.77,0.78,(0.79%)
Altria,MO,0.18%,67.04,0.53,(0.80%)
Comcast,CMCSA,0.18%,31.04,-0.87,(-2.73%)
Corning Inc.,GLW,0.18%,129.05,5.76,(4.67%)
CrowdStrike,CRWD,0.18%,434.13,5.14,(1.20%)
Southern Company,SO,0.18%,97.25,-0.23,(-0.24%)
Boston Scientific,BSX,0.17%,71.90,0.55,(0.77%)
Northrop Grumman,NOC,0.17%,747.34,-8.79,(-1.16%)
Duke Energy,DUK,0.17%,131.08,-1.42,(-1.07%)
Howmet Aerospace,HWM,0.17%,254.14,4.01,(1.60%)
CVS Health,CVS,0.16%,78.26,0.34,(0.44%)
Waste Management,WM,0.16%,246.51,0.46,(0.19%)
General Dynamics,GD,0.16%,361.98,-1.51,(-0.42%)
Dell Technologies,DELL,0.16%,146.51,0.03,(0.02%)
Trane Technologies,TT,0.15%,427.52,4.39,(1.04%)
Intercontinental Exchange,ICE,0.15%,165.80,-0.39,(-0.23%)
Equinix,EQIX,0.15%,944.91,7.71,(0.82%)
Automatic Data Processing,ADP,0.15%,223.04,-3.20,(-1.41%)
Williams Companies,WMB,0.15%,73.18,-1.06,(-1.43%)
Western Digital,WDC,0.14%,262.06,16.81,(6.85%)
Marriott International,MAR,0.14%,328.86,5.06,(1.56%)
"Marsh & McLennan Companies, Inc.",MRSH,0.14%,179.97,-3.11,(-1.70%)
American Tower,AMT,0.14%,186.64,-1.95,(-1.03%)
Freeport-McMoRan,FCX,0.14%,60.49,1.13,(1.90%)
Sandisk Corporation,SNDK,0.14%,588.73,61.40,(11.64%)
Blackstone Inc.,BX,0.14%,110.65,0.25,(0.23%)
Quanta Services,PWR,0.14%,568.04,27.85,(5.16%)
FedEx,FDX,0.14%,361.10,2.00,(0.56%)
United Parcel Service,UPS,0.14%,99.94,-2.42,(-2.36%)
Seagate Technology,STX,0.14%,374.33,21.53,(6.10%)
Synopsys,SNPS,0.14%,437.22,-0.19,(-0.04%)
"Nike, Inc.",NKE,0.14%,56.53,-0.48,(-0.84%)
PNC Financial Services,PNC,0.13%,205.34,-0.78,(-0.38%)
Regeneron Pharmaceuticals,REGN,0.13%,781.60,21.74,(2.86%)
Sherwin-Williams,SHW,0.13%,333.40,3.52,(1.07%)
Cadence Design Systems,CDNS,0.13%,298.05,1.11,(0.37%)
Moody's Corporation,MCO,0.13%,462.69,-9.28,(-1.97%)
Johnson Controls,JCI,0.13%,133.09,0.69,(0.52%)
KKR,KKR,0.13%,90.94,-0.39,(-0.43%)
U.S. Bancorp,USB,0.13%,52.13,-0.24,(-0.46%)
Airbnb,ABNB,0.13%,134.03,0.80,(0.60%)
Cintas,CTAS,0.13%,200.77,-2.84,(-1.39%)
3M,MMM,0.13%,151.63,-1.78,(-1.16%)
Illinois Tool Works,ITW,0.13%,276.58,-0.58,(-0.21%)
Ecolab,ECL,0.13%,281.86,-0.83,(-0.29%)
O'Reilly Auto Parts,ORLY,0.13%,94.61,0.01,(0.01%)
Emerson Electric,EMR,0.13%,141.12,2.76,(1.99%)
BNY Mellon,BK,0.13%,115.10,-0.13,(-0.11%)
Royal Caribbean Group,RCL,0.13%,290.55,12.47,(4.48%)
DoorDash,DASH,0.12%,176.59,-2.58,(-1.44%)
Cummins,CMI,0.12%,550.19,10.96,(2.03%)
Motorola Solutions,MSI,0.12%,458.03,-2.73,(-0.59%)
CSX Corporation,CSX,0.12%,40.60,0.65,(1.63%)
Mondelez International,MDLZ,0.12%,58.17,-0.23,(-0.39%)
Colgate-Palmolive,CL,0.12%,93.00,-0.56,(-0.60%)
Kinder Morgan,KMI,0.12%,33.30,-0.28,(-0.83%)
Monster Beverage,MNST,0.12%,75.72,0.11,(0.15%)
TransDigm Group,TDG,0.12%,1277.93,-16.60,(-1.28%)
"Robinhood Markets, Inc.",HOOD,0.12%,79.35,2.26,(2.93%)
CRH plc,CRH,0.12%,106.46,0.05,(0.05%)
American Electric Power,AEP,0.12%,131.86,-0.01,(-0.01%)
Aon,AON,0.12%,332.84,-7.76,(-2.28%)
