Company,Symbol,Weight,Price,Chg,% Chg
"F5, Inc.",FFIV,0.03%,285.33,-0.89,(-0.31%)
TKO Group Holdings,TKO,0.03%,204.07,1.39,(0.69%)
Invitation Homes,INVH,0.03%,25.97,-0.24,(-0.92%)
Jacobs Solutions,J,0.03%,134.67,-2.12,(-1.55%)
Tyler Technologies,TYL,0.03%,367.35,-7.24,(-1.93%)
Kimco Realty,KIM,0.03%,23.20,-0.08,(-0.34%)
CDW,CDW,0.03%,120.74,-2.68,(-2.17%)
Aptiv,APTV,0.03%,72.85,0.15,(0.21%)
Mid-America Apartment Communities,MAA,0.03%,132.14,-0.65,(-0.49%)
Genuine Parts Company,GPC,0.03%,111.84,-3.68,(-3.19%)
Nordson Corporation,NDSN,0.02%,271.49,-1.35,(-0.49%)
Pentair,PNR,0.02%,92.20,0.03,(0.03%)
Deckers Brands,DECK,0.02%,104.32,0.07,(0.07%)
Akamai Technologies,AKAM,0.02%,102.11,2.22,(2.22%)
Cooper Companies (The),COO,0.02%,75.82,-0.73,(-0.95%)
IDEX Corporation,IEX,0.02%,197.60,-0.30,(-0.15%)
Regency Centers,REG,0.02%,78.23,-0.43,(-0.55%)
Domino's,DPZ,0.02%,415.78,7.37,(1.80%)
Best Buy,BBY,0.02%,65.96,-0.72,(-1.08%)
Clorox,CLX,0.02%,113.41,-1.25,(-1.09%)
Gen Digital,GEN,0.02%,22.55,-0.06,(-0.27%)
"The Trade Desk, Inc.",TTD,0.02%,28.56,-0.72,(-2.46%)
Avery Dennison,AVY,0.02%,176.47,-3.17,(-1.76%)
Hasbro,HAS,0.02%,95.78,1.29,(1.37%)
Franklin Resources,BEN,0.02%,25.78,-0.46,(-1.75%)
Erie Indemnity,ERIE,0.02%,255.66,-4.19,(-1.61%)
Everest Group,EG,0.02%,328.05,-6.06,(-1.81%)
Host Hotels & Resorts,HST,0.02%,19.16,-0.07,(-0.36%)
Hormel Foods,HRL,0.02%,23.88,-0.54,(-2.21%)
Masco,MAS,0.02%,64.24,0.58,(0.91%)
Allegion,ALLE,0.02%,150.22,-0.15,(-0.10%)
Align Technology,ALGN,0.02%,175.05,1.05,(0.60%)
Jack Henry & Associates,JKHY,0.02%,171.59,-0.24,(-0.14%)
Paramount Skydance Corp,PSKY,0.02%,11.19,-0.80,(-6.67%)
Pinnacle West,PNW,0.02%,101.28,-1.16,(-1.13%)
GoDaddy,GDDY,0.02%,91.69,-2.26,(-2.41%)
"UDR, Inc.",UDR,0.02%,37.21,-0.04,(-0.11%)
Generac,GNRC,0.02%,207.11,3.09,(1.51%)
Fox Corporation (Class B),FOX,0.02%,54.04,-0.27,(-0.50%)
Healthpeak Properties,DOC,0.02%,17.42,0.14,(0.81%)
Solventum,SOLV,0.02%,68.60,-0.81,(-1.17%)
Fox Corporation (Class A),FOXA,0.02%,59.26,-0.52,(-0.87%)
Stanley Black & Decker,SWK,0.02%,75.62,-0.46,(-0.60%)
Gartner,IT,0.02%,166.39,-2.61,(-1.54%)
Universal Health Services,UHS,0.02%,190.53,-2.12,(-1.10%)
J.M. Smucker Company (The),SJM,0.02%,108.96,-2.25,(-2.02%)
APA Corporation,APA,0.02%,32.59,-0.09,(-0.28%)
Brown–Forman,BF.B,0.02%,24.88,-0.38,(-1.50%)
Globe Life,GL,0.02%,142.01,-0.17,(-0.12%)
Assurant,AIZ,0.02%,219.67,-3.24,(-1.45%)
Camden Property Trust,CPT,0.02%,105.11,-1.42,(-1.33%)
Invesco,IVZ,0.02%,23.88,0.21,(0.89%)
Wynn Resorts,WYNN,0.02%,101.56,-0.05,(-0.05%)
Zebra Technologies,ZBRA,0.02%,213.78,-5.87,(-2.67%)
Builders FirstSource,BLDR,0.02%,94.95,1.83,(1.97%)
Revvity,RVTY,0.02%,92.11,0.77,(0.84%)
DaVita,DVA,0.02%,152.56,1.80,(1.19%)
AES Corporation,AES,0.02%,14.19,0.04,(0.28%)
A. O. Smith,AOS,0.02%,70.46,-0.55,(-0.77%)
Norwegian Cruise Line Holdings,NCLH,0.02%,20.71,0.66,(3.29%)
Baxter International,BAX,0.01%,17.91,0.22,(1.24%)
Federal Realty Investment Trust,FRT,0.01%,106.54,-1.01,(-0.94%)
MGM Resorts,MGM,0.01%,35.64,0.07,(0.20%)
News Corp (Class A),NWSA,0.01%,24.54,-0.08,(-0.32%)
Henry Schein,HSIC,0.01%,78.10,0.50,(0.64%)
Conagra Brands,CAG,0.01%,18.66,-0.36,(-1.89%)
Alexandria Real Estate Equities,ARE,0.01%,51.18,0.45,(0.89%)
Charles River Laboratories,CRL,0.01%,176.99,2.53,(1.45%)
Molson Coors Beverage Company,TAP,0.01%,46.01,-0.63,(-1.35%)
Bio-Techne,TECH,0.01%,54.87,0.98,(1.82%)
Mosaic Company (The),MOS,0.01%,26.92,0.61,(2.32%)
"BXP, Inc.",BXP,0.01%,52.48,-0.46,(-0.87%)
Skyworks Solutions,SWKS,0.01%,55.28,0.47,(0.86%)
FactSet,FDS,0.01%,221.04,-4.83,(-2.14%)
Pool Corporation,POOL,0.01%,214.52,0.86,(0.40%)
EPAM Systems,EPAM,0.01%,146.26,0.39,(0.27%)
Campbell Soup Company,CPB,0.01%,25.29,-0.51,(-1.98%)
Molina Healthcare,MOH,0.01%,146.03,1.56,(1.08%)
Paycom,PAYC,0.01%,138.25,0.24,(0.17%)
Match Group,MTCH,0.01%,31.11,0.64,(2.10%)
Lamb Weston,LW,0.01%,45.75,-0.28,(-0.61%)
News Corp (Class B),NWS,0.01%,27.71,0.01,(0.04%)
